respondent_id,persona_label,persona_id,A_city_tier,A_gender,A_age,A_education_level,A_stream,A_institution_type,A_family_income_band,A_family_income_score,B_prior_paid_course,B_prior_paid_score,B_exam_prep,B_acad_performance_score,B_acad_performance_label,B_self_learning_hrs,B_self_learning_score,C_career_clarity_stage,C_confusion_level_score,C_confusion_level_label,C_worry_frequency_score,C_worry_frequency_label,C_family_decision_authority,C_family_decision_score,C_trusted_info_source,C_prior_platform_use,C_biggest_challenge,C_emotional_pain_type,D_risk_tolerance,D_risk_tolerance_score,D_motivation_type,D_motivation_score,D_locus_of_control_score,D_locus_of_control_label,D_career_stage,E_career_domain_1,E_career_domain_2,E_career_domain_3,E_learning_preference,E_feat_career_match,E_feat_roadmap,E_feat_job_market,E_feat_chatbot,E_feat_college_rec,E_feat_mock_interview,E_feat_scholarship,E_feat_peer_bench,E_primary_device,E_language_preference,E_longitudinal_consent,F_wtp_monthly_band,F_wtp_score_continuous,F_pricing_model_pref,F_payment_trigger,F_will_pay_binary,F_will_use_platform,F_will_use_binary
R0400,Budget Conscious Learner,3,Tier 2,Male,18,Grade 11-12,Science,Private,Rs2L-Rs5L,2,Parents pay,2,None,3,Average,3-5hrs,3,Parents decided - not sure its right,2,Low,2,Rarely,Parents already decided,1,Friends in career,No but looked,Dont know strengths,Financial anxiety,Depends on factors,2,Balanced both,4,3,Balanced,Exploration,Media,Science Research,Medicine,Live workshops,4,4,4,4,3,2.0,5,5.0,Smartphone Android,English only,Yes,Free only,0.0,Completely free,Affordable price,0,Yes,1
R0401,Budget Conscious Learner,3,Tier 3,Male,17,Grade 11-12,Commerce,Government/Aided,Below Rs2L,1,No free only,1,None,4,Good,3-5hrs,3,No idea where to begin,3,Medium,3,Sometimes,Mostly parents I follow,2,Official websites,No but looked,Family pressure,Financial anxiety,High-risk reward,3,Mostly financial,3,3,Balanced,Transition,Business,Finance,Technology,Quizzes interactive,5,5,3,3,2,3.0,5,4.0,Smartphone Android,English Hindi mix,No,Free only,0.0,Free one-time report,Teacher recommendation,0,Yes,1
R0402,Focused Achiever,1,Tier 2,Female,17,Grade 11-12,Science,Private,Rs10L-Rs20L,4,Yes currently,4,CAT/MBA,5,Excellent,5-10hrs,4,"Have interests, dont know career match",2,Low,3,Sometimes,Mostly me parents input,4,Official websites,No but looked,Lack of info new careers,Execution gap,High-risk reward,3,Mostly personal growth,3,5,Internal,Execution,Business,Medicine,Technology,Watching videos,4,3,3,5,5,4.0,2,3.0,Smartphone Android,English only,Yes,Rs300-Rs499,5.3,Monthly subscription,Free trial,1,Yes,1
R0403,Budget Conscious Learner,3,Tier 3,Female,16,Grade 11-12,Science,Government/Aided,Below Rs2L,1,Yes before,3,None,3,Average,5-10hrs,4,"Have interests, dont know career match",4,High,2,Rarely,Mostly parents I follow,2,School counselor,,Lack of info new careers,Financial anxiety,Depends on factors,2,Balanced both,3,4,Mostly Internal,,Defence,Medicine,Business,Watching videos,3,3,5,3,5,2.0,3,3.0,Smartphone Android,Regional language,Yes,Rs100-Rs299,3.1,Completely free,Free trial,1,Yes,1
R0404,Focused Achiever,1,Tier 1,Female,22,Undergraduate,Commerce,Online/Distance,Rs10L-Rs20L,4,Parents pay,2,NDA,4,Good,1-3hrs,2,"Chosen path, need plan",2,Low,2,Rarely,I decide completely,5,Official websites,Yes helpful,Lack of info new careers,Information gap,Depends on factors,2,Mostly personal growth,4,3,Balanced,Exploration,Law,Sports,Finance,Watching videos,5,5,4,4,5,5.0,4,5.0,Smartphone iOS,No preference,Yes,Rs100-Rs299,2.9,School pays,Outcome data,1,Yes,1
R0405,Budget Conscious Learner,3,Tier 2,Male,20,Undergraduate,Arts,Government/Aided,Below Rs2L,1,No free only,1,Not sure,3,Average,3-5hrs,3,"Chosen path, need plan",3,Medium,3,Sometimes,Equal joint decision,3,Parents/relatives,No but looked,Dont know strengths,Financial anxiety,Stable job,1,Mostly financial,3,2,Mostly External,Exploration,Teaching,Technology,Defence,Watching videos,2,5,2,3,3,3.0,3,3.0,Laptop/Desktop,Hindi,No,Free only,0.0,Completely free,Teacher recommendation,0,No,0
R0406,Focused Achiever,1,Tier 1,Female,20,Undergraduate,Arts,Government/Aided,Rs2L-Rs5L,2,Yes before,3,NEET,5,Excellent,More than 10hrs,5,"Know what I want, not how to get there",2,Low,3,Sometimes,Mostly me parents input,4,Official websites,Yes helpful,Lack of info new careers,Financial anxiety,High-risk reward,3,Mostly financial,4,5,Internal,Execution,Teaching,Media,Finance,Reading articles,4,5,3,4,5,3.0,5,5.0,Smartphone Android,No preference,No,Rs300-Rs499,5.2,School pays,Free trial,1,Yes,1
R0407,Confused Explorer,0,Tier 1,Male,14,Grade 8-10,Arts,Private,Rs5L-Rs10L,3,Yes before,3,Not sure,3,Average,1-3hrs,2,"Know what I want, not how to get there",4,High,4,Often,Mostly me parents input,4,School counselor,No didnt know,Lack of info new careers,Overwhelmed by options,Stable job,1,Balanced both,2,2,Mostly External,Exploration,Design,Law,Media,Quizzes interactive,2,4,4,5,5,3.0,3,3.0,Laptop/Desktop,English Hindi mix,No,Free only,0.1,Free one-time report,Outcome data,0,Yes,1
R0408,Focused Achiever,1,Tier 1,Male,21,Undergraduate,Science,Private,Above Rs20L,5,Yes currently,4,CUET,4,Good,5-10hrs,4,"Know what I want, not how to get there",1,Very Low,3,Sometimes,Mostly me parents input,4,Career apps,No didnt know,Lack of info new careers,Financial anxiety,High-risk reward,3,Mostly personal growth,4,5,Internal,Decision Making,Design,Business,Technology,Reading articles,4,4,5,3,5,4.0,3,4.0,Shared family device,Regional language,Yes,Free only,0.2,Annual plan,Friend recommendation,0,Yes,1
R0409,Confused Explorer,0,Tier 1,Male,18,Undergraduate,Vocational/Other,Online/Distance,Rs2L-Rs5L,2,No free only,1,Design,3,Average,1-3hrs,2,No idea where to begin,4,High,4,Often,Parents already decided,1,YouTube/Instagram,No but looked,Too many options,Lacks self-awareness,Depends on factors,2,Mostly personal growth,1,3,Balanced,Exploration,Technology,Teaching,Law,Reading articles,4,5,4,4,3,1.0,5,3.0,Smartphone Android,Hindi,Yes,Rs100-Rs299,3.2,Free one-time report,Free trial,1,No,0
R0410,Parent Driven Student,4,Tier 2,Male,16,Grade 11-12,Science,Government/Aided,Rs5L-Rs10L,3,Parents pay,2,CUET,1,Struggling,1-3hrs,2,Parents decided - not sure its right,4,High,2,Rarely,Equal joint decision,3,Parents/relatives,No didnt know,Family pressure,Family conflict,Stable job,1,Balanced both,3,2,Mostly External,Planning,Technology,Social Work,Media,Quizzes interactive,4,5,2,4,5,4.0,5,3.0,Smartphone Android,Regional language,No,Rs300-Rs499,5.3,Monthly subscription,School subscribed,1,No,0
R0411,Career Switcher,2,Tier 1,Male,25,Postgraduate,Science,Government/Aided,Below Rs2L,1,Yes before,3,NEET,2,Below Average,1-3hrs,2,Parents decided - not sure its right,4,High,4,Often,Mostly me parents input,4,School counselor,Yes not helpful enough,Family pressure,Overwhelmed by options,Stable job,1,Balanced both,4,4,Mostly Internal,Execution,Medicine,Science Research,Technology,Hands-on projects,3,4,3,3,5,3.0,5,3.0,Laptop/Desktop,English Hindi mix,No,Rs1000+,9.2,Free one-time report,Free trial,1,Yes,1
R0412,Confused Explorer,0,Tier 1,Female,22,Undergraduate,Science,Government/Aided,Above Rs20L,5,No free only,1,NEET,4,Good,1-3hrs,2,"Have interests, dont know career match",4,High,5,Almost Every Day,I decide completely,5,YouTube/Instagram,No didnt know,Too many options,Overwhelmed by options,Stable job,1,Balanced both,2,3,Balanced,Exploration,Sports,Technology,Medicine,Watching videos,3,3,3,4,4,3.0,3,5.0,Smartphone Android,Hindi,No,Free only,0.3,Completely free,Outcome data,0,No,0
R0413,Focused Achiever,1,Tier 1,Female,18,Undergraduate,Science,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,NEET,4,Good,1-3hrs,2,"Chosen path, need plan",2,Low,2,Rarely,I decide completely,5,School counselor,Yes helpful,No guidance,Financial anxiety,High-risk reward,3,Mostly personal growth,4,4,Mostly Internal,Decision Making,Medicine,Design,Science Research,Live workshops,5,5,5,4,4,4.0,3,3.0,Laptop/Desktop,Hindi,Yes,Rs300-Rs499,5.0,Monthly subscription,Outcome data,1,Yes,1
R0414,Focused Achiever,1,Tier 1,Male,22,Undergraduate,Commerce,Private,Rs5L-Rs10L,3,Yes before,3,CUET,5,Excellent,5-10hrs,4,"Chosen path, need plan",3,Medium,3,Sometimes,Mostly me parents input,4,Career apps,No but looked,Dont know strengths,Information gap,Stable job,1,Balanced both,4,4,Mostly Internal,Planning,Law,Business,Finance,Live workshops,3,4,4,3,4,5.0,4,4.0,Smartphone Android,English only,Yes,Up to Rs99,0.9,Monthly subscription,Free trial,1,Yes,1
R0415,Budget Conscious Learner,3,Tier 1,Male,21,Undergraduate,Science,Government/Aided,Below Rs2L,1,Yes before,3,CUET,3,Average,5-10hrs,4,No idea where to begin,2,Low,4,Often,Equal joint decision,3,Dont trust any,No didnt know,Job availability worry,Financial anxiety,Stable job,1,Balanced both,3,3,Balanced,Planning,Medicine,Teaching,Technology,Watching videos,4,3,4,4,3,4.0,2,4.0,Smartphone Android,English Hindi mix,Yes,Up to Rs99,1.0,Completely free,Outcome data,1,No,0
R0416,Parent Driven Student,4,Tier 2,Male,17,Grade 11-12,Arts,Private,Below Rs2L,1,Yes before,3,JEE,3,Average,3-5hrs,3,Parents decided - not sure its right,3,Medium,3,Sometimes,Mostly parents I follow,2,YouTube/Instagram,No didnt know,Dont know strengths,Financial anxiety,Stable job,1,Mostly financial,2,2,Mostly External,Planning,Technology,Business,Media,Hands-on projects,5,3,3,2,3,3.0,5,4.0,Laptop/Desktop,English Hindi mix,Yes,Rs100-Rs299,2.7,Completely free,School subscribed,1,No,0
R0417,Focused Achiever,1,Tier 3,Male,20,Undergraduate,Arts,Private,Rs2L-Rs5L,2,Yes before,3,NEET,4,Good,More than 10hrs,5,"Have interests, dont know career match",1,Very Low,2,Rarely,Mostly parents I follow,2,School counselor,No but looked,Dont know strengths,Financial anxiety,Stable job,1,Balanced both,4,4,Mostly Internal,Transition,Social Work,Law,Science Research,Reading articles,5,5,3,4,5,5.0,3,4.0,Smartphone iOS,Hindi,Yes,Free only,0.0,Annual plan,Teacher recommendation,0,Yes,1
R0418,Budget Conscious Learner,3,Tier 1,Male,22,Undergraduate,Commerce,Private,Below Rs2L,1,No free only,1,JEE,2,Below Average,5-10hrs,4,"Chosen path, need plan",2,Low,4,Often,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Dont know strengths,Family conflict,Stable job,1,Mostly financial,3,2,Mostly External,Exploration,Finance,Business,Sports,Talking to mentor,4,4,2,4,3,2.0,5,3.0,Shared family device,English only,Yes,Free only,0.0,Completely free,Teacher recommendation,0,Yes,1
R0419,Budget Conscious Learner,3,Tier 3,Female,20,Undergraduate,Vocational/Other,Central School,Below Rs2L,1,No free only,1,Not sure,3,Average,1-3hrs,2,"Have interests, dont know career match",4,High,3,Sometimes,Parents already decided,1,YouTube/Instagram,No didnt know,Family pressure,Overwhelmed by options,High-risk reward,3,Balanced both,2,4,Mostly Internal,Exploration,Sports,Business,Technology,Quizzes interactive,3,5,3,4,3,4.0,5,3.0,Smartphone Android,Hindi,No,Up to Rs99,0.8,Free one-time report,Free trial,1,No,0
R0420,Parent Driven Student,4,Tier 3,Female,26,Postgraduate,Commerce,Government/Aided,Rs5L-Rs10L,3,Parents pay,2,None,4,Good,3-5hrs,3,Parents decided - not sure its right,3,Medium,3,Sometimes,Parents already decided,1,School counselor,No didnt know,Wrong college choice,Execution gap,Stable job,1,Mostly financial,2,2,Mostly External,Planning,Technology,Design,Science Research,Watching videos,3,4,4,4,3,4.0,4,3.0,Smartphone Android,English Hindi mix,Yes,Up to Rs99,1.1,Monthly subscription,Free trial,1,Yes,1
R0421,Confused Explorer,0,Tier 2,Male,13,Grade 8-10,Arts,Private,Below Rs2L,1,Parents pay,2,JEE,4,Good,5-10hrs,4,No idea where to begin,3,Medium,5,Almost Every Day,I decide completely,5,YouTube/Instagram,No didnt know,Dont know strengths,Overwhelmed by options,Stable job,1,Mostly financial,4,3,Balanced,Exploration,Design,Sports,Media,Watching videos,4,5,3,5,3,4.0,4,4.0,Laptop/Desktop,,No,Up to Rs99,1.2,Annual plan,Outcome data,1,Yes,1
R0422,Career Switcher,2,Tier 3,Female,26,Postgraduate,Commerce,Government/Aided,Rs10L-Rs20L,4,No free only,1,NEET,3,Average,1-3hrs,2,"Know what I want, not how to get there",3,Medium,3,Sometimes,Equal joint decision,3,School counselor,Yes not helpful enough,Too many options,Overwhelmed by options,Stable job,1,Mostly financial,3,3,Balanced,Planning,Sports,Teaching,Media,Quizzes interactive,4,4,3,3,4,5.0,3,4.0,Smartphone Android,Hindi,Yes,Rs300-Rs499,4.8,Completely free,Affordable price,1,Yes,1
R0423,Confused Explorer,0,Tier 2,Male,18,Grade 11-12,Arts,Government/Aided,Rs5L-Rs10L,3,Yes currently,4,NEET,4,Good,1-3hrs,2,No idea where to begin,5,Very High,5,Almost Every Day,Mostly parents I follow,2,School counselor,No didnt know,Too many options,Information gap,Depends on factors,2,Mostly personal growth,2,3,Balanced,Decision Making,Business,Design,Defence,Hands-on projects,3,4,3,3,3,3.0,4,3.0,Laptop/Desktop,Hindi,Yes,Free only,0.4,Free one-time report,Teacher recommendation,0,No,0
R0424,Confused Explorer,0,Tier 2,Other/Prefer not to say,17,Grade 11-12,Science,Private,Rs2L-Rs5L,2,No free only,1,CAT/MBA,3,Average,3-5hrs,3,On path but feel I chose wrongly,5,Very High,4,Often,Mostly me parents input,4,Career apps,No didnt know,Too many options,Family conflict,High-risk reward,3,Mostly financial,3,3,Balanced,Exploration,Design,Teaching,Technology,Live workshops,3,4,2,3,1,3.0,4,3.0,Smartphone iOS,Regional language,No,Rs100-Rs299,2.7,Completely free,Teacher recommendation,1,No,0
R0425,Budget Conscious Learner,3,Tier 3,Male,17,Grade 11-12,Commerce,Government/Aided,Rs5L-Rs10L,3,Yes currently,4,NEET,2,Below Average,Less than 1hr,1,No idea where to begin,2,Low,3,Sometimes,Parents already decided,1,Career apps,Yes not helpful enough,Too many options,Family conflict,Depends on factors,2,Mostly personal growth,2,3,Balanced,Exploration,Finance,Teaching,Social Work,Hands-on projects,4,5,3,2,2,3.0,4,3.0,Smartphone Android,Regional language,No,Free only,0.1,Free one-time report,Affordable price,0,No,0
R0426,Budget Conscious Learner,3,Tier 2,Female,17,Grade 11-12,Commerce,Private,Rs10L-Rs20L,4,No free only,1,Not sure,4,Good,1-3hrs,2,"Know what I want, not how to get there",4,High,3,Sometimes,I decide completely,5,Parents/relatives,No but looked,Too many options,Execution gap,Depends on factors,2,Mostly personal growth,3,2,Mostly External,Exploration,Business,Science Research,Teaching,Live workshops,4,5,5,3,2,5.0,5,4.0,Smartphone Android,Hindi,Yes,Rs100-Rs299,3.3,Free one-time report,No trigger,1,Yes,1
R0427,Budget Conscious Learner,3,Tier 2,Other/Prefer not to say,15,Grade 8-10,Arts,Government/Aided,Rs2L-Rs5L,2,No free only,1,Design,4,Good,1-3hrs,2,"Know what I want, not how to get there",2,Low,2,Rarely,Mostly me parents input,4,YouTube/Instagram,No didnt know,No guidance,Overwhelmed by options,Stable job,1,Balanced both,3,3,Balanced,Planning,Law,Technology,Media,Live workshops,5,3,2,3,3,3.0,5,3.0,Shared family device,Hindi,Yes,Up to Rs99,1.3,Monthly subscription,Free trial,1,Yes,1
R0428,Career Switcher,2,Tier 2,Male,22,Undergraduate,Arts,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,JEE,2,Below Average,3-5hrs,3,"Chosen path, need plan",2,Low,4,Often,Equal joint decision,3,YouTube/Instagram,No but looked,Wrong college choice,Family conflict,Stable job,1,Mostly personal growth,3,3,Balanced,Transition,Teaching,Defence,Law,Hands-on projects,4,3,3,5,4,4.0,5,4.0,Smartphone Android,English only,Yes,Rs100-Rs299,3.4,Free one-time report,Free trial,1,Yes,1
R0429,Parent Driven Student,4,Tier 1,Male,20,Undergraduate,Arts,Government/Aided,Rs2L-Rs5L,2,No free only,1,None,2,Below Average,1-3hrs,2,"Chosen path, need plan",4,High,4,Often,Parents already decided,1,School counselor,No didnt know,Lack of info new careers,Execution gap,Stable job,1,Mostly financial,3,4,Mostly Internal,Planning,Design,Defence,Media,Watching videos,3,3,1,2,3,2.0,3,3.0,Smartphone Android,Hindi,No,Rs300-Rs499,4.6,Completely free,Outcome data,1,Yes,1
R0430,Focused Achiever,1,Tier 2,Male,20,Undergraduate,Commerce,Private,Rs2L-Rs5L,2,No free only,1,CLAT,4,Good,5-10hrs,4,"Chosen path, need plan",2,Low,1,Never,Mostly me parents input,4,Dont trust any,Yes helpful,Wrong college choice,Execution gap,High-risk reward,3,Mostly financial,4,4,Mostly Internal,Execution,Finance,Business,Media,Watching videos,4,5,5,3,5,4.0,4,3.0,Smartphone Android,No preference,Yes,Rs100-Rs299,2.8,Annual plan,Free trial,1,Yes,1
R0431,Focused Achiever,1,Tier 1,Male,19,Undergraduate,Commerce,Central School,Rs5L-Rs10L,3,No free only,1,CLAT,4,Good,3-5hrs,3,"Know what I want, not how to get there",3,Medium,3,Sometimes,Mostly me parents input,4,YouTube/Instagram,Yes helpful,Wrong college choice,Financial anxiety,High-risk reward,3,Mostly personal growth,3,4,Mostly Internal,Planning,Technology,Business,Finance,Talking to mentor,4,4,5,4,3,4.0,5,4.0,Smartphone Android,English only,Yes,Rs100-Rs299,2.9,Annual plan,Friend recommendation,1,No,0
R0432,Budget Conscious Learner,3,Tier 3,Male,17,Grade 11-12,Science,Government/Aided,Below Rs2L,1,No free only,1,None,3,Average,3-5hrs,3,"Chosen path, need plan",4,High,4,Often,I decide completely,5,Friends in career,No didnt know,Dont know strengths,Financial anxiety,High-risk reward,3,Balanced both,3,2,Mostly External,Decision Making,Medicine,Science Research,Business,Live workshops,3,3,3,3,4,2.0,5,4.0,Smartphone Android,English Hindi mix,No,Rs100-Rs299,2.9,Free one-time report,Free trial,1,Yes,1
R0433,Focused Achiever,1,Tier 3,Female,21,Undergraduate,Commerce,Private,Below Rs2L,1,Yes before,3,JEE,5,Excellent,3-5hrs,3,"Chosen path, need plan",1,Very Low,4,Often,Mostly me parents input,4,School counselor,No but looked,Lack of info new careers,Lacks self-awareness,Stable job,1,Balanced both,4,4,Mostly Internal,Planning,Business,Sports,Finance,Hands-on projects,5,4,5,5,5,4.0,4,3.0,Shared family device,English only,Yes,Rs100-Rs299,2.8,Monthly subscription,Free trial,1,Yes,1
R0434,Parent Driven Student,4,Tier 1,Female,22,Postgraduate,Commerce,Online/Distance,Rs2L-Rs5L,2,No free only,1,None,3,Average,Less than 1hr,1,"Know what I want, not how to get there",3,Medium,4,Often,Mostly me parents input,4,YouTube/Instagram,No but looked,No guidance,Family conflict,High-risk reward,3,Balanced both,3,4,Mostly Internal,Decision Making,Design,Law,Business,Live workshops,5,4,4,3,2,3.0,4,1.0,Smartphone Android,No preference,Yes,Rs100-Rs299,8.212236740389548,School pays,Free trial,1,No,0
R0435,Confused Explorer,0,Tier 3,Male,27,Postgraduate,Vocational/Other,Private,Rs10L-Rs20L,4,No free only,1,Design,1,Struggling,5-10hrs,4,"Know what I want, not how to get there",3,Medium,4,Often,Mostly parents I follow,2,Parents/relatives,No but looked,No guidance,Lacks self-awareness,High-risk reward,3,Mostly financial,2,2,Mostly External,Planning,Technology,Defence,Design,Talking to mentor,2,3,4,2,3,2.0,4,4.0,Laptop/Desktop,English only,No,Up to Rs99,1.2,Monthly subscription,Teacher recommendation,1,Yes,1
R0436,Career Switcher,2,Tier 2,Female,25,Postgraduate,Science,Private,Rs5L-Rs10L,3,No free only,1,JEE,2,Below Average,3-5hrs,3,"Have interests, dont know career match",3,Medium,3,Sometimes,Equal joint decision,3,Friends in career,No but looked,Lack of info new careers,Information gap,Stable job,1,Mostly personal growth,4,4,Mostly Internal,Decision Making,Technology,Medicine,Science Research,Hands-on projects,4,4,4,5,3,2.0,5,3.0,Smartphone Android,English only,Yes,Free only,0.3,School pays,Affordable price,0,Yes,1
R0437,Budget Conscious Learner,3,Tier 2,Female,18,Grade 11-12,Commerce,Government/Aided,Rs2L-Rs5L,2,Yes before,3,None,3,Average,3-5hrs,3,"Chosen path, need plan",3,Medium,3,Sometimes,Equal joint decision,3,Career apps,No didnt know,Job availability worry,Financial anxiety,High-risk reward,3,Mostly personal growth,2,3,Balanced,Planning,Finance,Business,Technology,Reading articles,3,2,3,3,3,3.0,5,4.0,Smartphone Android,English only,No,Free only,0.0,Completely free,School subscribed,0,No,0
R0438,Career Switcher,2,Tier 2,Male,21,Undergraduate,Science,Private,Rs5L-Rs10L,3,Yes before,3,None,3,Average,5-10hrs,4,On path but feel I chose wrongly,3,Medium,4,Often,Equal joint decision,3,Parents/relatives,No but looked,Wrong college choice,Financial anxiety,Stable job,1,Balanced both,3,3,Balanced,Decision Making,Defence,Science Research,Medicine,Talking to mentor,4,4,4,5,5,4.0,4,3.0,Smartphone iOS,English only,Yes,Free only,0.0,Monthly subscription,Teacher recommendation,0,No,0
R0439,Focused Achiever,1,Tier 2,Male,17,Grade 11-12,Commerce,Government/Aided,Below Rs2L,1,Yes currently,4,None,5,Excellent,5-10hrs,4,Parents decided - not sure its right,2,Low,2,Rarely,I decide completely,5,Friends in career,Yes helpful,Lack of info new careers,Execution gap,High-risk reward,3,Mostly financial,5,4,Mostly Internal,Execution,Teaching,Social Work,Law,Hands-on projects,5,5,3,5,4,4.0,5,4.0,Laptop/Desktop,English only,No,Rs100-Rs299,3.4,Free one-time report,Free trial,1,Yes,1
R0440,Focused Achiever,1,Tier 1,Male,23,Postgraduate,Commerce,Private,Rs5L-Rs10L,3,No free only,1,Design,4,Good,5-10hrs,4,"Know what I want, not how to get there",1,Very Low,3,Sometimes,I decide completely,5,Career apps,Yes helpful,Family pressure,Information gap,High-risk reward,3,Mostly personal growth,5,4,Mostly Internal,Decision Making,Media,Finance,Defence,Talking to mentor,4,5,5,4,2,4.0,2,4.0,Laptop/Desktop,English Hindi mix,Yes,Free only,0.0,Annual plan,Outcome data,0,No,0
R0441,Focused Achiever,1,Tier 1,Male,21,Undergraduate,Science,Government/Aided,Above Rs20L,5,Parents pay,2,CLAT,5,Excellent,5-10hrs,4,"Chosen path, need plan",2,Low,2,Rarely,I decide completely,5,Parents/relatives,Yes helpful,Job availability worry,Financial anxiety,High-risk reward,3,Mostly personal growth,5,5,Internal,Planning,Medicine,Business,Defence,Quizzes interactive,2,5,4,5,4,4.0,3,4.0,Smartphone iOS,English Hindi mix,Yes,Rs300-Rs499,5.3,Free one-time report,Free trial,1,Yes,1
R0442,Confused Explorer,0,Tier 2,Male,19,Undergraduate,Arts,Private,Rs10L-Rs20L,4,No free only,1,CLAT,4,Good,5-10hrs,4,"Know what I want, not how to get there",5,Very High,3,Sometimes,Mostly parents I follow,2,Parents/relatives,No but looked,Dont know strengths,Overwhelmed by options,Depends on factors,2,Balanced both,1,3,Balanced,Exploration,Teaching,Law,Design,Watching videos,3,3,4,3,5,2.0,3,3.0,Smartphone iOS,English only,No,Free only,0.0,Free one-time report,Outcome data,0,Yes,1
R0443,Confused Explorer,0,Tier 2,Male,21,Undergraduate,Science,Private,Rs2L-Rs5L,2,Parents pay,2,JEE,2,Below Average,3-5hrs,3,No idea where to begin,5,Very High,4,Often,Equal joint decision,3,Parents/relatives,No but looked,Wrong college choice,Overwhelmed by options,High-risk reward,3,Mostly personal growth,2,2,Mostly External,Decision Making,Technology,Medicine,Teaching,Watching videos,4,5,2,4,4,1.0,4,3.0,Smartphone Android,Hindi,Yes,Free only,0.3,Annual plan,Friend recommendation,0,Yes,1
R0444,Career Switcher,2,Tier 2,Male,20,Undergraduate,Science,Private,Rs5L-Rs10L,3,No free only,1,Design,3,Average,1-3hrs,2,"Chosen path, need plan",4,High,3,Sometimes,Parents already decided,1,Career apps,No but looked,Too many options,Family conflict,High-risk reward,3,Mostly financial,3,3,Balanced,Transition,Medicine,Technology,Science Research,Talking to mentor,5,3,4,4,5,4.0,3,2.0,Smartphone Android,No preference,Yes,Rs100-Rs299,2.6,Annual plan,Friend recommendation,1,Yes,1
R0445,Budget Conscious Learner,3,Tier 1,Other/Prefer not to say,14,Grade 8-10,Commerce,Government/Aided,Rs2L-Rs5L,2,No free only,1,None,3,Average,More than 10hrs,5,"Chosen path, need plan",2,Low,2,Rarely,Mostly me parents input,4,Friends in career,No didnt know,Job availability worry,Financial anxiety,Depends on factors,2,Mostly financial,3,3,Balanced,Decision Making,Business,Social Work,Medicine,Hands-on projects,4,4,2,3,3,4.0,5,4.0,Smartphone Android,No preference,Yes,Free only,0.2,Completely free,Affordable price,0,Yes,1
R0446,Focused Achiever,1,Tier 3,Female,19,Undergraduate,Commerce,Government/Aided,Rs5L-Rs10L,3,No free only,1,NEET,5,Excellent,3-5hrs,3,"Know what I want, not how to get there",1,Very Low,2,Rarely,Mostly me parents input,4,Friends in career,Yes not helpful enough,Dont know strengths,Lacks self-awareness,Depends on factors,2,Mostly personal growth,4,4,Mostly Internal,Execution,Finance,Business,Technology,Watching videos,3,4,4,4,5,5.0,3,5.0,Laptop/Desktop,English only,Yes,Rs300-Rs499,4.9,Annual plan,Teacher recommendation,1,Yes,1
R0447,Career Switcher,2,Tier 2,Female,21,Undergraduate,Commerce,Government/Aided,Above Rs20L,5,No free only,1,UPSC,2,Below Average,3-5hrs,3,Parents decided - not sure its right,4,High,5,Almost Every Day,I decide completely,5,Dont trust any,No didnt know,Family pressure,Information gap,High-risk reward,3,Mostly financial,1,4,Mostly Internal,Planning,Business,Finance,Medicine,Hands-on projects,3,5,5,5,5,5.0,3,4.0,Smartphone Android,English Hindi mix,Yes,Free only,0.0,Monthly subscription,Outcome data,0,Yes,1
R0448,Parent Driven Student,4,Tier 3,Male,16,Grade 11-12,Science,Government/Aided,Rs5L-Rs10L,3,Yes currently,4,JEE,4,Good,Less than 1hr,1,Parents decided - not sure its right,3,Medium,5,Almost Every Day,Mostly parents I follow,2,School counselor,No but looked,Lack of info new careers,Information gap,High-risk reward,3,Mostly financial,3,4,Mostly Internal,Decision Making,Law,Medicine,Science Research,Quizzes interactive,4,4,3,5,2,4.0,4,4.0,Smartphone Android,Regional language,Yes,Rs1000+,9.0,Monthly subscription,Affordable price,1,Yes,1
R0449,Focused Achiever,1,Tier 2,Female,20,Undergraduate,Commerce,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,CUET,5,Excellent,Less than 1hr,1,"Have interests, dont know career match",2,Low,3,Sometimes,I decide completely,5,School counselor,No didnt know,No guidance,Lacks self-awareness,High-risk reward,3,Mostly personal growth,5,5,Internal,Planning,Law,Finance,Technology,Reading articles,5,4,5,3,3,5.0,4,5.0,Smartphone Android,Regional language,Yes,Rs300-Rs499,4.8,Annual plan,Teacher recommendation,1,Yes,1
R0450,Career Switcher,2,Tier 3,Male,23,Postgraduate,Science,Government/Aided,Below Rs2L,1,No free only,1,CUET,4,Good,3-5hrs,3,"Know what I want, not how to get there",4,High,2,Rarely,I decide completely,5,Official websites,Yes not helpful enough,Dont know strengths,Family conflict,Depends on factors,2,Mostly personal growth,2,3,Balanced,Execution,Technology,Teaching,Medicine,Talking to mentor,4,3,4,4,4,5.0,3,4.0,Smartphone iOS,Regional language,Yes,Free only,0.0,Annual plan,Friend recommendation,0,Yes,1
